data,nome,km,tempo
2026-05-07 11:49:23,1,0.28,0,1.0,0
2026-05-07 11:50:08,0,0.50,0,1.0,0
2026-05-07 11:58:33,1,36.85,0,105.0,0
2026-05-07 11:59:47,1,60.04,0,120.0,0
2026-05-07 22:01:13,2,3.05,0,60.0,0
2026-05-07 22:02:15,2,77.30,0,120.0,0
2026-05-07 22:03:33,2,1.01,0,60.0,0
2026-05-07 22:03:36,0,1.01,0,60.0,0
2026-05-07 22:03:54,0,3.03,0,60.0,0
2026-05-07 22:05:45,1,1.05,0,60.0,0
2026-05-07 22:07:37,1,2.00,0,60.0,0
2026-05-07 22:10:03,1,1.98,0,60.0,0
2026-05-07 22:11:55,2,1.98,0,60.0,0
2026-05-07 22:17:33,2,1.99,0,60.0,0
2026-05-07 22:20:29,0,5.53,0,68.2,0
2026-05-07 22:20:45,2,15.14,0,82.6,0
2026-05-07 22:20:54,1,8.21,0,72.2,0
2026-05-07 22:21:18,1,29.99,0,104.9,0
2026-05-07 22:22:11,1,104.12,0,215.9,0
2026-05-07 22:23:44,2,287.89,0,300.0,0
2026-05-07 22:23:48,1,3.27,0,64.8,0
2026-05-07 22:23:53,1,3.29,0,64.8,0
2026-05-07 22:27:18,1,4.47,0,66.6,0
2026-05-07 22:27:24,1,2.17,0,63.2,0
2026-05-07 22:28:06,1,41.04,0,121.4,0
2026-05-07 22:28:46,2,56.65,0,144.8,0
2026-05-07 22:29:49,1,7.54,0,71.2,0
2026-05-07 22:29:52,1,1.03,0,61.5,0
2026-05-07 22:29:59,0,3.31,0,64.9,0
2026-05-07 22:30:04,0,3.28,0,64.8,0
2026-05-07 22:30:14,0,4.45,0,66.6,0
2026-05-07 22:30:16,1,1.03,0,61.5,0
2026-05-07 22:30:47,0,43.57,0,125.2,0
2026-05-07 22:31:41,1,23.89,0,95.7,0
2026-05-07 22:32:11,1,41.31,0,121.8,0
2026-05-07 22:34:04,1,128.60,0,252.6,0
2026-05-08 06:53:00,2,7.91,0,71.8,0
2026-05-08 06:53:34,1,44.67,0,126.8,0
2026-05-08 07:02:34,0,2.64,0,63.9,0
2026-05-08 07:03:10,2,54.08,0,141.0,0
2026-05-08 07:18:12,1,4.28,0,66.3,0
2026-05-08 07:18:50,2,40.47,0,61.8,0
2026-05-08 07:19:12,1,15.51,0,83.2,0
2026-05-08 07:19:14,1,0.97,0,61.4,0
2026-05-08 07:19:29,2,16.34,0,84.4,0
2026-05-08 07:19:35,0,5.57,0,68.3,0
2026-05-08 07:19:41,1,4.33,0,66.4,0
2026-05-08 07:19:46,0,4.45,0,66.6,0
2026-05-08 07:19:56,1,10.58,0,75.8,0
2026-05-08 07:19:58,0,1.02,0,61.4,0
2026-05-08 07:20:10,1,11.50,0,61.7,0
2026-05-08 07:20:20,2,9.26,0,73.8,0
2026-05-08 07:20:50,1,28.95,0,66.1,0
2026-05-08 07:28:47,1,45.18,0,60.0,0
2026-05-08 07:28:49,1,1.26,0,60.0,0
2026-05-08 07:28:51,1,6.36,0,60.0,0
2026-05-08 07:28:54,1,6.24,0,60.0,0
2026-05-08 07:41:44,0,14.50,0,60.0,0
2026-05-08 07:42:24,1,69.20,0,60.0,0
2026-05-08 07:42:29,1,4.20,0,60.0,0
2026-05-08 07:43:08,2,75.70,0,60.0,0
2026-05-08 07:51:39,1,145.56,0,150.0,0
2026-05-08 07:52:09,1,6.30,0,30.0,0
2026-05-08 07:52:18,0,1.89,0,30.0,0
2026-05-08 07:52:47,1,1.89,0,30.0,0
2026-05-08 16:30:30,2,39.51,0,30.0,0
2026-05-08 16:30:45,1,2.55,0,30.0,0
2026-05-08 16:32:40,2,0.63,0,30.0,0
2026-05-08 16:33:35,2,11.97,0,30.0,0
2026-05-08 16:48:30,0,32.10,0,30.0,0
2026-05-08 16:57:18,2,28.11,0,60.0,0
2026-05-11 06:29:29,2,13.99,0,60.0,0
2026-05-11 06:30:12,0,2.05,0,30.0,0
2026-05-11 06:37:19,2,2.43,0,40.0,0
2026-05-11 06:37:29,0,1.23,0,30.0,0
2026-05-11 06:38:42,1,18.75,0,30.0,0
2026-05-11 06:56:08,1,1.55,0,40.0,0
2026-05-11 06:57:06,1,3.27,0,40.0,0
2026-05-11 06:58:54,2,42.83,0,95.0,0
2026-05-13 22:23:36,1,1.55,0,40.0,0
2026-05-13 22:24:14,0,8.62,0,30.0,0
